x,y,a,b,phi
165.918,190.852,80.5994,53.4953,0.266924
68.4888,363.569,68.7459,49.5695,1.36817
309.163,390.848,124.67,82.9794,-1.30884
443.509,594.418,79.9452,53.1392,-1.57022
443.509,594.418,79.9116,53.0659,1.57015
440.778,597.679,76.8464,50.3359,1.52181
1.28823e-231,-1.28823e-231,2.67102e-319,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.57015,4.94066e-324,1.28823e-231,-1.28823e-231,0.830288
0.232529,0.533747,0,0,0
1.64397,-0.932508,-0.0433038,0,0
0,-0.225014,-0.634208,-0.597923,0
0,0,0.746559,1.60424,-0.675481
3.90313e-18,-5.96311e-19,-0,1.28823e-231,1.28823e-231
-50443.8,0,-4.93979e+06,0,3.83008e+09
0,8692.09,0,357834,0
1.28823e-231,1.28823e-231,-2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2.50321e-308,0.401805
-0.000755731,0.915725,-4.84483e-19,-9.55029e-19,-2.16172e-21
0.900305,0.183072,-0.394888,-1.54732e-18,-2.73311e-18
-7.15731e-21,-0.167345,0.983099,0.0742396,-2.2544e-18
-2.75767e-18,-1.14063e-20,1.0842e-18,4.77049e-18,0
0.635217,0.772332,0.00134806,1.35525e-20,-7.58942e-19
0,0.772308,-0.635181,-0.0092882,-8.47033e-22
-8.47033e-22,0,-0.00631731,0.00694115,-0.999956
1.28823e-231,1.28823e-231,0.354059,0.935223,0
-0,-4.72382e-09,-0.000322113,-0.566668,0.21453
0.703754,0.370937,-1.25577e-06,0.000659562,0.226821
-0.0858698,-0.280666,0.928658,0.00254117,0.783311
-0.440549,0.167325,-0.405383,-0,0.00149565
-0.621628,-0.554972,0.209673,-0.511487,0.000793116
-0.999996,0.0010608,-0.00195086,0.000736235,-0.00179481
5.92704e-307,-2.86195e-06,0,-4.72382e-09,0
-1.25577e-06,0,0.00254117,0,0.00149565
0,-0.999996,0,-7.17277e-06,0
-2.15419e-06,0,3.14552e-06,0,0.00776816
0,-0.00265251,0,-0.999966,0
6.83115e-07,0,-4.01308e-06,0,-3.03051e-07
0,0.00157571,0,0.0022548,0
-0.999996,0,0.935223,0,0.21453
0,-0.0858698,0,0.167325,0
0.209673,0,0.000736235,0,0
0,0.703754,0,-0.280666,0
-0.405383,0,-0.511487,0,-0.00179481
0,0,0,0.370937,0
0.928658,0,0,0,0.000793116
0,1.82888e-08,0,1.28823e-231,-1.28823e-231
-4.72382e-09,0,-1.25577e-06,0,0.00254117
0,0.00149565,0,-0.999996,0
-7.17277e-06,0,-2.15419e-06,0,3.14552e-06
0,0.00776816,0,-0.00265251,0
-0.999966,0,6.83115e-07,0,-4.01308e-06
0,-3.03051e-07,0,0.00157571,0
0.0022548,0,-0.999996,0,0.935223
0,0.21453,0,-0.0858698,0
0.167325,0,0.209673,0,0.000736235
0,0,0,0.703754,0
-0.280666,0,-0.405383,0,-0.511487
0,-0.00179481,0,0,0
0.370937,0,0.928658,0,0
0,0.000793116,0,1.82888e-08,0
1.28823e-231,-1.28823e-231,2.66287e-319,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
